source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_name_eng,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
aar,0,None,language,Afari,Afar,Main spoken language Afar,698652007,44784496,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
abk,0,None,language,Abhaasi,Abkhazian,Main spoken language Abkhazian,698651000,44784495,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ace,0,None,language,Atšehi,Achinese,,No matching concept,0,None,,,2024-06-04,2099-12-31
ach,0,None,language,Atšoli,Acoli,,No matching concept,0,None,,,2024-06-04,2099-12-31
ada,0,None,language,Adangme,Adangme,,No matching concept,0,None,,,2024-06-04,2099-12-31
ady,0,None,language,Adõgee,Adyghe; Adygei,,No matching concept,0,None,,,2024-06-04,2099-12-31
afa,0,None,language,Afroaasia keeled,Afro-Asiatic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
afh,0,None,language,Afrihili,Afrihili,,No matching concept,0,None,,,2024-06-04,2099-12-31
afr,0,None,language,Afrikaani,Afrikaans,Main spoken language Afrikaans,698653002,44784497,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
agx,0,None,language,Aguli,Aghul,,No matching concept,0,None,,,2024-06-04,2099-12-31
ain,0,None,language,Ainu,Ainu,,No matching concept,0,None,,,2024-06-04,2099-12-31
aka,0,None,language,Akani,Akan,Main spoken language Akan,408525000,4256745,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
akk,0,None,language,Akadi,Akkadian,,No matching concept,0,None,,,2024-06-04,2099-12-31
alb,0,None,language,Albaania,Albanian,Main spoken language Albanian,407648002,4233048,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ale,0,None,language,Aleuudi,Aleut,,No matching concept,0,None,,,2024-06-04,2099-12-31
alg,0,None,language,Algonkini keeled,Algonquian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
alt,0,None,language,Altai,Southern Altai,,No matching concept,0,None,,,2024-06-04,2099-12-31
amh,0,None,language,Amhara,Amharic,Main spoken language Amharic,408507007,4235403,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ang,0,None,language,Vanainglise (u 450–1100),"English, Old (ca. 450-1100)",,No matching concept,0,None,,,2024-06-04,2099-12-31
anp,0,None,language,Angika,Angika,,No matching concept,0,None,,,2024-06-04,2099-12-31
apa,0,None,language,Apatši keeled,Apache languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
ara,0,None,language,Araabia,Arabic,Main spoken language Arabic,315566006,4153313,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
arc,0,None,language,Aramea,Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),,No matching concept,0,None,,,2024-06-04,2099-12-31
arg,0,None,language,Aragoni,Aragonese,Main spoken language Aragonese,809341000000106,44805848,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
arm,0,None,language,Armeenia,Armenian,Main spoken language Armenian,698885002,44782878,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
arn,0,None,language,Mapudunguni,Mapudungun; Mapuche,,No matching concept,0,None,,,2024-06-04,2099-12-31
arp,0,None,language,Arapaho,Arapaho,,No matching concept,0,None,,,2024-06-04,2099-12-31
art,0,None,language,Tehiskeeled,Artificial languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
arw,0,None,language,Aravaki,Arawak,,No matching concept,0,None,,,2024-06-04,2099-12-31
asm,0,None,language,Assami,Assamese,Main spoken language Assamese,698886001,44784344,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ast,0,None,language,Astuuria,Asturian; Bable; Leonese; Asturleonese,,No matching concept,0,None,,,2024-06-04,2099-12-31
aze,0,None,language,Aserbaidžaani,Azerbaijani,Main spoken language Azerbaijani,698888000,44782880,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ath,0,None,language,Atapaski keeled,Athapascan languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
aus,0,None,language,Austraalia keeled,Australian languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
ava,0,None,language,Avaari,Avaric,Main spoken language Avaric,970441000000105,46285397,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ave,0,None,language,Avesta,Avestan,Main spoken language Avestan,970451000000108,46285398,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
awa,0,None,language,Avadhi,Awadhi,,No matching concept,0,None,,,2024-06-04,2099-12-31
aym,0,None,language,Aimaraa,Aymara,Main spoken language Aymara,698887005,44782879,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bad,0,None,language,Banda keeled,Banda languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bai,0,None,language,Bamileke keeled,Bamileke languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bak,0,None,language,Baškiiri,Bashkir,Main spoken language Bashkir,698889008,44784436,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bal,0,None,language,Belutši,Baluchi,,No matching concept,0,None,,,2024-06-04,2099-12-31
bam,0,None,language,Bambara,Bambara,Main spoken language Bambara,970461000000106,46285399,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ban,0,None,language,Bali,Balinese,,No matching concept,0,None,,,2024-06-04,2099-12-31
baq,0,None,language,Baski,Basque,Main spoken language Basque,698654008,44784498,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bas,0,None,language,Basaa,Basa,,No matching concept,0,None,,,2024-06-04,2099-12-31
bat,0,None,language,Balti keeled,Baltic languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bej,0,None,language,Bedža,Beja; Bedawiyet,,No matching concept,0,None,,,2024-06-04,2099-12-31
bel,0,None,language,Valgevene,Belarusian,Main spoken language Belarusian,698655009,44784499,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bem,0,None,language,Bemba,Bemba,,No matching concept,0,None,,,2024-06-04,2099-12-31
ben,0,None,language,Bengali,Bengali,Main spoken language Bengali,315567002,4153314,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
ber,0,None,language,Berberi keeled,Berber languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bho,0,None,language,Bhodžpuri,Bhojpuri,,No matching concept,0,None,,,2024-06-04,2099-12-31
bih,0,None,language,Bihaari keeled,Bihari languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bik,0,None,language,Bikoli,Bikol,,No matching concept,0,None,,,2024-06-04,2099-12-31
bin,0,None,language,Edo,Bini; Edo,,No matching concept,0,None,,,2024-06-04,2099-12-31
bis,0,None,language,Bislama,Bislama,Main spoken language Bislama,698890004,44782881,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
bla,0,None,language,Mustjalaindiaani,Siksika,,No matching concept,0,None,,,2024-06-04,2099-12-31
bnt,0,None,language,Bantu keeled,Bantu languages,,No matching concept,0,None,,,2024-06-04,2099-12-31
bos,0,None,language,Bosnia,Bosnian,Main spoken language Bosnian,970471000000104,46287222,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
