source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
0,0,None,cancer,Vähi staadium,AJCC/UICC Stage 0,AJCC/UICC-Stage-0,1633754,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
0A,0,None,cancer,Vähi staadium,AJCC/UICC Stage 0a,AJCC/UICC-Stage-0A,1635410,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
0IS,0,None,cancer,Vähi staadium,AJCC/UICC Stage 0is,AJCC/UICC-Stage-0IS,1634049,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
10,0,None,cancer,Gleasoni skoor,Gleason Score 10,Gleason-Score-10,1633655,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
2,0,None,cancer,Gleasoni skoor,Gleason Score <=6,Gleason-Score-<=6,1634230,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
3,0,None,cancer,Gleasoni skoor,Gleason Score <=6,Gleason-Score-<=6,1634230,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
3+3,0,None,cancer,Gleasoni skoor,Gleason Grade Group 1,Gleason-Grade_Group-1,1633550,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
3+4,0,None,cancer,Gleasoni skoor,Gleason Grade Group 2,Gleason-Grade_Group-2,1633826,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
3+4,0,None,cancer,Gleasoni skoor,Gleason Score 3+4,Gleason-Score-3+4,1635693,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
3+5,0,None,cancer,Gleasoni skoor,Gleason Grade Group 4,Gleason-Grade_Group-4,1635079,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
4,0,None,cancer,Gleasoni skoor,Gleason Score <=6,Gleason-Score-<=6,1634230,Cancer Modifier,Measurement,Staging/Grading,2025-02-21,2099-12-31
