source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
100574019,0,None,pathology,polypus fibroglandularis cervicis,Adenomatous polyp of cervix,255196008,4116358,SNOMED,Condition,Disorder,2025-02-21,2099-12-31
101957016,0,None,pathology,tela granulationis,Granulation tissue,61363009,4247022,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
102552017,0,None,pathology,adenoma tubulovillosum,Tubulovillous adenoma,61722000,4267876,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
102740014,0,None,pathology,naevus dysplasticus,Dysplastic nevus,61814002,4267895,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
103521013,0,None,pathology,atrophia senilis,Senile atrophy,62286002,4268765,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
103570012,0,None,pathology,exsudatum /inflammatorium/ acutum,Acute exudative inflammation,62312006,4266512,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
103611000119102,45772057,SNOMED,pathology,Cirrhosis of liver due to hepatitis B,Cirrhosis of liver due to hepatitis B,103611000119102,45772057,SNOMED,Condition,Disorder,2025-02-21,2099-12-31
103614000,4304037,SNOMED,pathology,Follicular cyst,Follicular cyst,103614000,4304037,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
103622007,4014011,SNOMED,pathology,Mild inflammation,Mild inflammation,103622007,4014011,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
103623002,4014012,SNOMED,pathology,Moderate inflammation,Moderate inflammation,103623002,4014012,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
103637006,4014016,SNOMED,pathology,"Atypical squamous cells of uncertain significance, probably malignant","Atypical squamous cells of uncertain significance, probably malignant",103637006,4014016,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
103643008,4304331,SNOMED,pathology,AGC-NOS; Atypical endocervical cells of undetermined significance,Atypical endocervical cells of undetermined significance,103643008,4304331,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
103646000,4304347,SNOMED,pathology,AGC-NOS; Atypical endometrial cells of undetermined significance,Atypical endometrial cells of undetermined significance,103646000,4304347,SNOMED,Observation,Morph Abnormality,2025-02-21,2099-12-31
