source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
A01AA01,21600005,ATC,atc,"sodium fluoride; oral, local oral",sodium fluoride,9873,19069022,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AA02,21600006,ATC,atc,sodium monofluorophosphate; local oral,monofluorophosphate,52885,19068715,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AA03,21600007,ATC,atc,olaflur; local oral,olaflur,OMOP991921,36878977,RxNorm Extension,Drug,Ingredient,2025-02-21,2099-12-31
A01AA04,21600008,ATC,atc,"stannous fluoride; oral, local oral",stannous fluoride,10030,1036094,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AA51,21600010,ATC,atc,"sodium fluoride, combinations; local oral",sodium fluoride,9873,19069022,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB02,21600012,ATC,atc,hydrogen peroxide; local oral,hydrogen peroxide,5499,1776430,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB03,21600013,ATC,atc,chlorhexidine; local oral,chlorhexidine,2358,1790812,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB04,21600014,ATC,atc,amphotericin B; local oral,amphotericin B,732,1717240,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB05,21600015,ATC,atc,polynoxylin; local oral,polynoxylin,34188,19026609,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB06,21600016,ATC,atc,domiphen; local oral,domiphen,23623,19091239,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB07,21600017,ATC,atc,oxyquinoline; local oral,oxyquinoline,110,906874,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB08,21600018,ATC,atc,neomycin; local oral,neomycin,7299,915981,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB09,21600019,ATC,atc,miconazole; local oral,miconazole,6932,907879,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB10,21600020,ATC,atc,natamycin; local oral,natamycin,7268,915392,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB12,21600022,ATC,atc,hexetidine; local oral,hexetidine,5301,19068839,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB13,21600023,ATC,atc,tetracycline; local oral,tetracycline,10395,1836948,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB14,21600024,ATC,atc,benzoxonium chloride; local oral,benzoxonium,236962,19056737,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB15,21600025,ATC,atc,tibezonium iodide; local oral,tibezonium iodide,237141,19056871,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB17,21600027,ATC,atc,metronidazole; local oral,metronidazole,6922,1707164,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
A01AB18,21600028,ATC,atc,clotrimazole; local oral,clotrimazole,2623,1000632,RxNorm,Drug,Ingredient,2025-02-21,2099-12-31
