source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
aurikulaarne,0,None,drug_admin_route,aurikulaarne,Otic,10547007,4023156,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
bukaalne,0,None,drug_admin_route,bukaalne,Buccal,54471007,4181897,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
dentaalne,0,None,drug_admin_route,dentaalne,Dental,372449004,4163765,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
ekstraamniootiline,0,None,drug_admin_route,ekstraamniootiline,Extra-amniotic,372453002,4186833,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
endosinusiaalne,0,None,drug_admin_route,endosinusiaalne,Endosinusial,372451000,4157756,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
endotrahheopulmonaalne,0,None,drug_admin_route,endotrahheopulmonaalne,Endotracheopulmonary,372452007,4186832,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
endotservikaalne,0,None,drug_admin_route,endotservikaalne,Endocervical,372450004,4186831,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
epiduraalne,0,None,drug_admin_route,epiduraalne,Epidural,404820008,4225555,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
epilesionaalne,0,None,drug_admin_route,epilesionaalne,Epilesional,764723001,35608078,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
gastrointestinaalne,0,None,drug_admin_route,gastrointestinaalne,Gastroenteral,372454008,4186834,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
gingivaalne,0,None,drug_admin_route,gingivaalne,Gingival,372457001,4156704,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
hemodialüüs,0,None,drug_admin_route,hemodialüüs,Extracorporeal hemodialysis,766790006,35624178,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
infiltratsioon,0,None,drug_admin_route,infiltratsioon,Infiltration,718329006,37397638,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
inhalatsioon,0,None,drug_admin_route,inhalatsioon,Respiratory tract,447694001,40486069,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
inhalatsioon (aerosool),0,None,drug_admin_route,inhalatsioon (aerosool),Respiratory tract,447694001,40486069,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
inhalatsioon (lahus),0,None,drug_admin_route,inhalatsioon (lahus),Respiratory tract,447694001,40486069,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
inhalatsioon (pulber),0,None,drug_admin_route,inhalatsioon (pulber),Respiratory tract,447694001,40486069,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intestinaalne,0,None,drug_admin_route,intestinaalne,Enteral,417985001,4167540,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraabdominaalne,0,None,drug_admin_route,intraabdominaalne,Intraabdominal,419396008,4304882,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraamniootiline,0,None,drug_admin_route,intraamniootiline,Intraamniotic,372458006,4163767,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraarteriaalne,0,None,drug_admin_route,intraarteriaalne,Intra-arterial,58100008,4240824,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraartikulaarne,0,None,drug_admin_route,intraartikulaarne,Intra-articular,12130007,4006860,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrabursaalne,0,None,drug_admin_route,intrabursaalne,Intrabursal,372459003,4163768,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intradermaalne,0,None,drug_admin_route,intradermaalne,Intradermal,372464004,4156706,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intradiskaalne,0,None,drug_admin_route,intradiskaalne,Intradiscal,372465003,4163769,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraepidermaalne,0,None,drug_admin_route,intraepidermaalne,Intraepidermal,448077001,40487983,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraglandulaarne,0,None,drug_admin_route,intraglandulaarne,Intraglandular,58751000052109,37207460,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrakardiaalne,0,None,drug_admin_route,intrakardiaalne,Intracardiac,372460008,4156705,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrakavernoosne,0,None,drug_admin_route,intrakavernoosne,Intracavernous,372461007,4157757,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrakolangiopankreaatiline,0,None,drug_admin_route,intrakolangiopankreaatiline,Intracholangiopancreatic,58761000052107,37207461,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrakoronaarne,0,None,drug_admin_route,intrakoronaarne,Intracoronary,372463005,4186836,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intralesionaalne,0,None,drug_admin_route,intralesionaalne,Intralesional,372466002,4157758,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intralümfaatiline,0,None,drug_admin_route,intralümfaatiline,Intralymphatic,372467006,4157759,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intramammaarne,0,None,drug_admin_route,intramammaarne,Intramammary,447121004,40491321,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intramuskulaarne,0,None,drug_admin_route,intramuskulaarne,Intramuscular,78421000,4302612,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraokulaarne,0,None,drug_admin_route,intraokulaarne,Intraocular,372468001,4157760,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraosteaalne,0,None,drug_admin_route,intraosteaalne,Intraosseous,417255000,4213522,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraperikardiaalne,0,None,drug_admin_route,intraperikardiaalne,Intrapericardial,445771006,40492305,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraperitoneaalne,0,None,drug_admin_route,intraperitoneaalne,Intraperitoneal,38239002,4243022,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrapleuraalne,0,None,drug_admin_route,intrapleuraalne,Intrapleural,372469009,4156707,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intraprostaatiline,0,None,drug_admin_route,intraprostaatiline,Intraprostatic,419810008,4171725,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrapulmonaalne,0,None,drug_admin_route,intrapulmonaalne,Intrapulmonary,420201002,4169270,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrasternaalne,0,None,drug_admin_route,intrasternaalne,Intrasternal,372470005,4186837,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intrasünoviaalne,0,None,drug_admin_route,intrasünoviaalne,Intrasynovial,418877009,4302352,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intratekaalne,0,None,drug_admin_route,intratekaalne,Intrathecal,72607000,4217202,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intratrahheaalne,0,None,drug_admin_route,intratrahheaalne,Intratracheal,404818005,4229543,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
intratserebraalne,0,None,drug_admin_route,intratserebraalne,Intracerebral,446540005,40488317,SNOMED,Route,Qualifier Value,2025-02-21,2099-12-31
