source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_code_category_name,source_code_category_code,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
000000000000000433,2010000462,EHIF service codes,ehif_service,Alkoholi ja psühhoaktiivsete ainete kuritarvitus või nendest sõltuvus. Lahkus vastupidiselt arstide soovitusele,Alkoholi ja psühhoaktiivsete ainete kuritarvitus või nendest sõltuvus,20,"Alcohol/drug abuse or dependence, left AMA",894,38001575,DRG,Observation,MS-DRG,2025-12-03,2099-12-31
000000000000000434,2010000463,EHIF service codes,ehif_service,"Alkoholi ja psühhoaktiivsete ainete kuritarvitus või nendest sõltuvus, desintoksikatsioonravi või muu sümptomaatiline ravi, kht-ga",Alkoholi ja psühhoaktiivsete ainete kuritarvitus või nendest sõltuvus,20,Alcohol/drug abuse or dependence w/o rehabilitation therapy w MCC,896,38001577,DRG,Observation,MS-DRG,2025-12-03,2099-12-31
000000000000000435,2010000464,EHIF service codes,ehif_service,"Alkoholi ja psühhoaktiivsete ainete kuritarvitus või nendest sõltuvus, desintoksikatsioonravi või muu sümptomaatiline ravi, kht-ta",Alkoholi ja psühhoaktiivsete ainete kuritarvitus või nendest sõltuvus,20,Alcohol/drug abuse or dependence w/o rehabilitation therapy w/o MCC,897,38001578,DRG,Observation,MS-DRG,2025-12-03,2099-12-31
000000000000000436,2010000465,EHIF service codes,ehif_service,Rehabilitatsioonravi alkoholist ja psühhoaktiivsetest ainetest sõltuvuse puhul,Alkoholi ja psühhoaktiivsete ainete kuritarvitus või nendest sõltuvus,20,Alcohol/drug abuse or dependence w rehabilitation therapy,895,38001576,DRG,Observation,MS-DRG,2025-12-03,2099-12-31
000000000000000437,2010000466,EHIF service codes,ehif_service,Rehabilitatsioon- ja desintoksikatsioonravi alkoholist ja psühhoaktiivsetest ainetest sõltuvuse puhul,Alkoholi ja psühhoaktiivsete ainete kuritarvitus või nendest sõltuvus,20,Alcohol/drug abuse or dependence w rehabilitation therapy,895,38001576,DRG,Observation,MS-DRG,2025-12-03,2099-12-31
000000000000000285,2010000297,EHIF service codes,ehif_service,"Alajäseme amputatsioon endokriin-, toitumis- ja ainevahetushäirete korral","Endokriin-, toitumis- ja ainevahetushaigused",10,,No matching concept,0,None,,,2025-12-03,2099-12-31
000000000000000286,2010000298,EHIF service codes,ehif_service,Neerupealiste ja hüpofüüsi operatsioonid,"Endokriin-, toitumis- ja ainevahetushaigused",10,,No matching concept,0,None,,,2025-12-03,2099-12-31
000000000000000289,2010000301,EHIF service codes,ehif_service,Kõrvalkilpnäärme operatsioonid,"Endokriin-, toitumis- ja ainevahetushaigused",10,,No matching concept,0,None,,,2025-12-03,2099-12-31
000000000000000290,2010000302,EHIF service codes,ehif_service,Kilpnäärme operatsioonid,"Endokriin-, toitumis- ja ainevahetushaigused",10,,No matching concept,0,None,,,2025-12-03,2099-12-31
000000000000000291,2010000303,EHIF service codes,ehif_service,"Suhkurtõbi, vanus 0-17; Türeoglossaalse trakti operatsioonid","Endokriin-, toitumis- ja ainevahetushaigused",10,,No matching concept,0,None,,,2025-12-03,2099-12-31
