source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_code_category_name,source_code_category_code,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
000000000000003002,0,None,ehif_service,Eriarsti esmane vastuvõtt,Ambulatoorsed vastuvõtud,1000,Admission by physician,305260005,4138807,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003004,0,None,ehif_service,Eriarsti korduv vastuvõtt,Ambulatoorsed vastuvõtud,1000,Admission by physician,305260005,4138807,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003004,0,None,ehif_service,Eriarsti korduv vastuvõtt – INSERTED,Ambulatoorsed vastuvõtud,1000,Follow-up visit,185389009,4089050,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003007,0,None,ehif_service,Kliinilise psühholoogi vastuvõtt eriarsti suunamisel,Ambulatoorsed vastuvõtud,1000,Psychologic AND/OR psychiatric procedure AND/OR service,108310004,4032377,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003008,0,None,ehif_service,Õe või ämmaemanda iseseisev vastuvõtt,Ambulatoorsed vastuvõtud,1000,Admission by nurse,305326000,4128594,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003013,0,None,ehif_service,Psühhiaatriaõe vastuvõtt/koduvisiit,Ambulatoorsed vastuvõtud,1000,Admission by mental health nurse,305330002,4128595,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003014,0,None,ehif_service,Logopeedi konsultatiivne vastuvõtt eriarsti suunamisel,Ambulatoorsed vastuvõtud,1000,Speech assessment,196731000000103,44788943,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003015,0,None,ehif_service,Vaimse tervise õe vastuvõtt,Ambulatoorsed vastuvõtud,1000,Admission by mental health nurse,305330002,4128595,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003016,0,None,ehif_service,Kliinilise logopeedi konsultatiivne vastuvõtt eriarsti suunamisel,Ambulatoorsed vastuvõtud,1000,Speech assessment,196731000000103,44788943,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003018,0,None,ehif_service,Eriõe vastuvõtt (45 minutit),Ambulatoorsed vastuvõtud,1000,Admission by nurse,305326000,4128594,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003020,0,None,ehif_service,Eriarsti koduvisiit – INSERTED,Ambulatoorsed vastuvõtud,1000,Admission by physician,305260005,4138807,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003020,0,None,ehif_service,Eriarsti koduvisiit,Ambulatoorsed vastuvõtud,1000,Home visit,439708006,4259432,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003024,0,None,ehif_service,Õe või ämmaemanda koduvisiit,Ambulatoorsed vastuvõtud,1000,Home visit,439708006,4259432,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003024,0,None,ehif_service,Õe või ämmaemanda koduvisiit – INSERTED,Ambulatoorsed vastuvõtud,1000,Admission by nurse,305326000,4128594,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003025,0,None,ehif_service,Psühhiaatrilise ravimeeskonna vastuvõtt (meeskonnas kaks isikut),Ambulatoorsed vastuvõtud,1000,Admission by mental health nurse,305330002,4128595,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003026,0,None,ehif_service,Koduõendusteenus,Ambulatoorsed vastuvõtud,1000,Home care by visiting nurse,90817005,4236026,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003027,0,None,ehif_service,Geriaatrilise seisundi hindamine,Ambulatoorsed vastuvõtud,1000,Geriatric screening,171313004,4064499,SNOMED,Measurement,Procedure,2024-06-04,2099-12-31
000000000000003028,0,None,ehif_service,Ämmaemanda koduvisiit (sünnitusjärgne) esmatasandi tervisekeskuses,Ambulatoorsed vastuvõtud,1000,Home visit for postpartum care and assessment,440085006,4260106,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003029,0,None,ehif_service,Erialadevaheline e-konsultatsioon tervise infosüsteemi vahendusel,Ambulatoorsed vastuvõtud,1000,eConsultation via online application,1068881000000101,42690710,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003030,0,None,ehif_service,Välisriigist kutsutud eriarsti konsultatsioon,Ambulatoorsed vastuvõtud,1000,,No matching concept,0,None,,,2024-06-04,2099-12-31
000000000000003031,0,None,ehif_service,Psühhiaatri ja õe vastuvõtt aktiivravi perioodis,Ambulatoorsed vastuvõtud,1000,Admission by psychiatrist,305285001,4123796,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003031,0,None,ehif_service,Psühhiaatri ja õe vastuvõtt aktiivravi perioodis – INSERTED,Ambulatoorsed vastuvõtud,1000,Admission by mental health nurse,305330002,4128595,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003032,0,None,ehif_service,Psühhiaatri vastuvõtt aktiivravi perioodis,Ambulatoorsed vastuvõtud,1000,Admission by psychiatrist,305285001,4123796,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003033,0,None,ehif_service,Psühhiaatri vastuvõtt toetusravi perioodis,Ambulatoorsed vastuvõtud,1000,Admission by psychiatrist,305285001,4123796,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003034,0,None,ehif_service,Hinnangu andmine tervishoiuteenuse vastavusele «Ravikindlustuse seaduse» § 27 lõikes 3 sätestatud kriteeriumidele; Hinnangu andmine tervishoiuteenuse vastavusele ravikindlustuse seaduse § 271 lõikes 1 sätestatud kriteeriumidele,Ambulatoorsed vastuvõtud,1000,,No matching concept,0,None,,,2024-06-04,2099-12-31
000000000000003035,0,None,ehif_service,Õe iseseisev vastuvõtt,Ambulatoorsed vastuvõtud,1000,Admission by nurse,305326000,4128594,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003036,0,None,ehif_service,Õe koduvisiit,Ambulatoorsed vastuvõtud,1000,Home visit,439708006,4259432,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003036,0,None,ehif_service,Õe koduvisiit – INSERTED,Ambulatoorsed vastuvõtud,1000,Admission by nurse,305326000,4128594,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003037,0,None,ehif_service,Ämmaemanda iseseisev vastuvõtt,Ambulatoorsed vastuvõtud,1000,Admission by midwife,305323008,4123922,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003038,0,None,ehif_service,Ämmaemanda koduvisiit (sünnitusjärgne),Ambulatoorsed vastuvõtud,1000,Home visit for postpartum care and assessment,440085006,4260106,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003039,0,None,ehif_service,E-konsultatsioon tervise infosüsteemi vahendusel,Ambulatoorsed vastuvõtud,1000,eConsultation via online application,1068881000000101,42690710,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003042,0,None,ehif_service,Pahaloomulise kasvaja esmase raviplaani koostamine või muutmine paikmepõhise multidistsiplinaarse ekspertkomisjoni poolt,Ambulatoorsed vastuvõtud,1000,Multidisciplinary cancer case management,842911000000105,44808909,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003042,0,None,ehif_service,Pahaloomulise kasvaja esmase raviplaani koostamine või muutmine paikmepõhise multidistsiplinaarse ekspertkomisjoni poolt – INSERTED,Ambulatoorsed vastuvõtud,1000,Developing a treatment plan,225292002,4022110,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003043,0,None,ehif_service,Hematoloogilise kasvaja esmase raviplaani koostamine või muutmine ekspertkomisjoni poolt,Ambulatoorsed vastuvõtud,1000,Multidisciplinary cancer case management,842911000000105,44808909,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003043,0,None,ehif_service,Hematoloogilise kasvaja esmase raviplaani koostamine või muutmine ekspertkomisjoni poolt – INSERTED,Ambulatoorsed vastuvõtud,1000,Developing a treatment plan,225292002,4022110,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003075,0,None,ehif_service,Tervishoiuteenused päevaravis,Ambulatoorsed vastuvõtud,1000,Day hospital care,183484003,4080064,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003076,0,None,ehif_service,Päevakirurgia,Ambulatoorsed vastuvõtud,1000,Ambulatory surgery,110468005,4004517,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003100,0,None,ehif_service,Psühhiaatri vastuvõtt (alla 19-aastasele isikule),Ambulatoorsed vastuvõtud,1000,Admission by child and adolescent psychiatrist,305286000,4138815,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003101,0,None,ehif_service,Elundisiirdamise ootelehele võtmise otsustamine või otsuse ülevaatamine multidistsiplinaarse ekspertkomisjoni poolt,Ambulatoorsed vastuvõtud,1000,On waiting list for organ transplant,471300007,43020581,SNOMED,Observation,Clinical Finding,2024-06-04,2099-12-31
000000000000003102,0,None,ehif_service,Õe triaaž erakorralise meditsiini osakonnas,Ambulatoorsed vastuvõtud,1000,Emergency examination for triage,245581009,4075112,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003103,0,None,ehif_service,Psühhiaatrilise ravimeeskonna koduvisiit (alla 19-aastasele isikule),Ambulatoorsed vastuvõtud,1000,Admission by mental health nurse,305330002,4128595,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003104,0,None,ehif_service,Punase triaažikategooriaga patsiendi käsitlus erakorralise meditsiini osakonnas,Ambulatoorsed vastuvõtud,1000,Immediate resuscitation level emergency care,1064891000000107,42689521,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003105,0,None,ehif_service,Oranži triaažikategooriaga patsiendi käsitlus erakorralise meditsiini osakonnas,Ambulatoorsed vastuvõtud,1000,Very urgent level emergency care,1064911000000105,42689522,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003106,0,None,ehif_service,Kollase triaažikategooriaga patsiendi käsitlus erakorralise meditsiini osakonnas,Ambulatoorsed vastuvõtud,1000,Urgent level emergency care,1064901000000108,42690664,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003107,0,None,ehif_service,Rohelise ja sinise triaažikategooriaga patsiendi käsitlus erakorralise meditsiini osakonnas,Ambulatoorsed vastuvõtud,1000,Standard level emergency care,1077241000000103,42690500,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003108,0,None,ehif_service,Patsiendi sanitaarne korrastus erakorralise meditsiini osakonnas,Ambulatoorsed vastuvõtud,1000,,No matching concept,0,None,,,2024-06-04,2099-12-31
000000000000003109,0,None,ehif_service,"Keemiline, radioloogiline või bioloogiline dekontaminatsioon erakorralise meditsiini osakonnas",Ambulatoorsed vastuvõtud,1000,,No matching concept,0,None,,,2024-06-04,2099-12-31
000000000000003110,0,None,ehif_service,Kõrge nakkusohuga ja kiirgusohuga patsiendi käsitlus erakorralise meditsiini osakonnas,Ambulatoorsed vastuvõtud,1000,,No matching concept,0,None,,,2024-06-04,2099-12-31
000000000000003111,0,None,ehif_service,Ämmaemanda iseseisev vastuvõtt (esmane),Ambulatoorsed vastuvõtud,1000,Admission by midwife,305323008,4123922,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003112,0,None,ehif_service,Ämmaemanda iseseisev vastuvõtt,Ambulatoorsed vastuvõtud,1000,Admission by midwife,305323008,4123922,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
000000000000003113,0,None,ehif_service,Ambulatoorse patsiendi esmase raviplaani koostamine või muutmine multidistsiplinaarse eksperdikomisjoni poolt (meeskonnas vähemalt üks eriarst),Ambulatoorsed vastuvõtud,1000,Developing a treatment plan,225292002,4022110,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003114,0,None,ehif_service,Ambulatoorse patsiendi esmase raviplaani koostamine või muutmine multidistsiplinaarse eksperdikomisjoni poolt (meeskonnas vähemalt kolm eriarsti),Ambulatoorsed vastuvõtud,1000,Developing a treatment plan,225292002,4022110,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003115,0,None,ehif_service,Üldise tervisekontrolli nõustamine,Ambulatoorsed vastuvõtud,1000,Medical counseling,171014001,4064788,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
000000000000003118,0,None,ehif_service,Vaimse tervise õe vastuvõtt (alla 19-aastasele isikule),Ambulatoorsed vastuvõtud,1000,Admission by mental health nurse,305330002,4128595,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
