source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
100049-6,1989104,LOINC,loinc,Eravatsükliin,Eravacycline [Susceptibility],100049-6,1989104,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
100383-9,1761837,LOINC,loinc,Ahvirõugete viiruse DNA,Monkeypox virus DNA [Presence] in Specimen by NAA with probe detection,100383-9,1761837,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
1007-4,3022907,LOINC,loinc,Otsene antiglobuliintest,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,1007-4,3022907,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
1008-2,3023173,LOINC,loinc,Erütrotsütaarsed antikehad (sõeluuring kahe erütrotsüüdiga),Indirect antiglobulin test.polyspecific reagent [Presence] in Serum or Plasma,1008-2,3023173,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
1018-1,3001981,LOINC,loinc,E antikehad,E Ab [Presence] in Serum or Plasma,1018-1,3001981,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
1021-5,3005480,LOINC,loinc,E antigeen,E Ag [Presence] on Red Blood Cells,1021-5,3005480,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
1024-9,3002171,LOINC,loinc,Fya antikehad,Fy sup(a) Ab [Presence] in Serum or Plasma,1024-9,3002171,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
1027-2,3037821,LOINC,loinc,Fya antigeen,Fy sup(a) Ag [Presence] on Red Blood Cells,1027-2,3037821,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
1030-6,3001819,LOINC,loinc,Fyb antikehad,Fy sup(b) Ab [Presence] in Serum or Plasma,1030-6,3001819,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
10328-3,3036663,LOINC,loinc,Lümfotsüütide suhtarv liikvoris,Lymphocytes/Leukocytes in Cerebral spinal fluid by Manual count,10328-3,3036663,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
10329-1,3037194,LOINC,loinc,Monotsüütide suhtarv liikvoris,Monocytes/Leukocytes in Cerebral spinal fluid by Manual count,10329-1,3037194,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
1033-0,3033876,LOINC,loinc,Fyb antigeen,Fy sup(b) Ag [Presence] on Red Blood Cells,1033-0,3033876,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
10331-7,3003310,LOINC,loinc,Rh fenotüüp,Rh [Type] in Blood,10331-7,3003310,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
10333-3,3023410,LOINC,loinc,Liikvori läbipaistvus,Appearance of Cerebral spinal fluid,10333-3,3023410,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
10334-1,3037551,LOINC,loinc,Kasvajaantigeen CA 125 seerumis/plasmas,Cancer Ag 125 [Units/volume] in Serum or Plasma,10334-1,3037551,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
10335-8,3038077,LOINC,loinc,Liikvori värvus,Color of Cerebral spinal fluid,10335-8,3038077,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
10342-4,3034436,LOINC,loinc,Sulfametoksasool seerumis/plasmas,Sulfamethoxazole [Mass/volume] in Serum or Plasma,10342-4,3034436,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
10348-1,3018553,LOINC,loinc,Bordetella parapertussis vastased antikehad seerumis/plasmas,Bordetella parapertussis Ab [Presence] in Serum,10348-1,3018553,LOINC,Measurement,Lab Test,2025-12-03,2099-12-31
