source_code,source_concept_id,source_vocabulary_id,source_code_type,source_code_description,source_name_eng,target_concept_name,target_concept_code,target_concept_id,target_vocabulary_id,target_domain,target_concept_class_id,updated_date,valid_end_date
AAA00,0,None,ncsp,Eksploratiivne kraniotoomia,Exploratory craniotomy,Exploratory open craniotomy,178373004,4075430,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAA10,0,None,ncsp,Biopsia kraniotoomia kaudu,Biopsy through craniotomy,Craniotomy,25353009,4101626,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAA20,0,None,ncsp,Intraventrikulaarse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks,Insertion of intraventricular pressure monitoring device,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAA25,0,None,ncsp,Epiduraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks,Insertion of epidural pressure monitoring device,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAA27,0,None,ncsp,Intratserebraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks,Insertion of intracerebral pressure monitoring device,Introduction of intracranial pressure measuring device,230938001,4045610,SNOMED,Observation,Procedure,2024-06-04,2099-12-31
AAA30,0,None,ncsp,Epiduraalsete elektroodide paigaldamine,Insertion of epidural electrodes,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAA35,0,None,ncsp,Subduraalsete elektroodide paigaldamine,Insertion of subdural electrodes,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAA40,0,None,ncsp,Intratserebraalsete elektroodide paigaldamine,Insertion of intracerebral electrodes,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAA50,0,None,ncsp,Intrakraniaalne endoskoopia,Intracranial endoscopy,Intracranial endoscopy,45350003,4163842,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAA99,0,None,ncsp,Muu diagnostiline intrakraniaalne protseduur,Other diagnostic intracranial procedures,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAB00,0,None,ncsp,Intrakraniaalse kahjustuskolde ekstirpatsioon,Extirpation of intracranial lesion,Excision of lesion of brain tissue,171446006,4065161,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAB10,0,None,ncsp,Intrakraniaalse kahjustuskolde osaline ekstsisioon,Partial excision of intracranial lesion,Excision of intracranial lesion,9888007,4321596,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAB20,0,None,ncsp,Intrakraniaalse kahjustuskolde destruktsioon,Destruction of intracranial lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAB30,0,None,ncsp,Spontaanse intrakraniaalse hematoomi evakuatsioon,Evacuation of spontaneous intracranial haematoma,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAB99,0,None,ncsp,Intrakraniaalse kahjustuskolde muu ekstsisioon või destruktsioon,Other excision or destruction of intracranial lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAC00,0,None,ncsp,Intrakraniaalse aneurüsmi klipsimine või ligeerimine,Ligature of intracranial aneurysm,Ligation of intracranial aneurysm,230899005,4047008,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAC05,0,None,ncsp,Intrakraniaalse aneurüsmi toitva arteri ligeerimine,Ligature of feeding artery of intracranial aneurysm,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAC10,0,None,ncsp,Intrakraniaalse aneurüsmi seina tugevdamine,Reinforcement of intracranial aneurysm wall,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAC15,0,None,ncsp,Intrakraniaalse aneurüsmi okluseerimine,Trapping of intracranial aneurysm,Trapping of intracranial aneurysm,230900000,4045870,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAC20,0,None,ncsp,Anastomoos intrakraniaalsele veresoonele,Anastomosis to intracranial vessel,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAC30,0,None,ncsp,Vaskulaarse fistuli intrakraniaalne okluseerimine,Intracranial occlusion of vascular fistula,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAC40,0,None,ncsp,Intrakraniaalse artero-venoosse malformatsiooni ekstirpatsioon,Extirpation of intracranial arterio-venous malformation,Excision of intracranial arteriovenous malformation,230905005,4045952,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAC99,0,None,ncsp,Muu operatsioon aneurüsmi või intrakraniaalse vaskulaarse kahjustuse korral,Other operation for aneurysm or other intracranial vascular lesion,,No matching concept,0,None,,,2024-06-04,2099-12-31
AAD00,0,None,ncsp,Epiduraalse hematoomi evakuatsioon,Evacuation of epidural haematoma,Evacuation of intracranial extradural hematoma,171713001,4063759,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAD05,0,None,ncsp,Ägeda subduraalse hematoomi evakuatsioon,Evacuation of acute subdural haematoma,Evacuation of subdural hematoma,59712006,4242877,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAD10,0,None,ncsp,Kroonilise subduraalse hematoomi evakuatsioon,Evacuation of chronic subdural haematoma,Evacuation of subdural hematoma,59712006,4242877,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAD15,0,None,ncsp,Traumaatilise intratserebraalse hematoomi evakuatsioon,Evacuation of traumatic intracerebral haematoma,Evacuation of intracerebral hematoma,10458001,4019540,SNOMED,Procedure,Procedure,2024-06-04,2099-12-31
AAD30,0,None,ncsp,Kolju penetreeriva või perforeeriva vigastuse revisioon,Revision of penetrating or perforating injury of skull,,No matching concept,0,None,,,2024-06-04,2099-12-31
